URL,HomeTeam,HomeGoals,AwayTeam,AwayGoals
https://soccer365.ru/games/15693538/,Атлетико Мадрид,2,Лацио,0
https://soccer365.ru/games/15693539/,Селтик,2,Фейеноорд,1
https://soccer365.ru/games/15693540/,ПСЖ,0,Боруссия Дортмунд,1
https://soccer365.ru/games/15693541/,Копенгаген,1,Галатасарай,0
https://soccer365.ru/games/15693542/,Унион Берлин,2,Реал Мадрид,3
https://soccer365.ru/games/15693543/,Ман Юнайтед,0,Бавария,1
https://soccer365.ru/games/15693544/,Наполи,2,Брага,0
https://soccer365.ru/games/15693545/,Арсенал,2,ПСВ,2
https://soccer365.ru/games/15693546/,Ланс,2,Севилья,1
https://soccer365.ru/games/15693547/,Ред Булл Зальцбург,1,Бенфика,3
https://soccer365.ru/games/15693548/,Интер,0,Реал Сосьедад,0
https://soccer365.ru/games/15693549/,Брага,1,Унион Берлин,1
https://soccer365.ru/games/15693550/,Реал Сосьедад,0,Ред Булл Зальцбург,0
https://soccer365.ru/games/15693551/,Галатасарай,3,Ман Юнайтед,3
https://soccer365.ru/games/15693552/,Бавария,0,Копенгаген,0
https://soccer365.ru/games/15693553/,Реал Мадрид,4,Наполи,2
https://soccer365.ru/games/15693554/,Арсенал,6,Ланс,0
https://soccer365.ru/games/15693555/,Севилья,2,ПСВ,3
https://soccer365.ru/games/15693556/,Бенфика,3,Интер,3
https://soccer365.ru/games/15693557/,Шахтер,1,Антверпен,0
https://soccer365.ru/games/15693558/,Фейеноорд,1,Атлетико Мадрид,3
https://soccer365.ru/games/15693559/,Янг Бойз,0,Црвена Звезда,1
https://soccer365.ru/games/15693560/,Ман Сити,3,РБ Лейпциг,2
https://soccer365.ru/games/15693561/,Барселона,2,Порту,1
